benchmark,warmup_iter,iter,name,command,duration,lines,env
subtitles_en_alternate_casei,1,3,rg,rg -n -i Sherlock Holmes|John Watson|Irene Adler|Inspector Lestrade|Professor Moriarty C:\Users\ianskerins\ripgrep\benchsuite\subtitles\OpenSubtitles2016.raw.sample.en,2.734403133392334,862,
subtitles_en_alternate_casei,1,3,rg,rg -n -i Sherlock Holmes|John Watson|Irene Adler|Inspector Lestrade|Professor Moriarty C:\Users\ianskerins\ripgrep\benchsuite\subtitles\OpenSubtitles2016.raw.sample.en,2.7187397480010986,862,
subtitles_en_alternate_casei,1,3,rg,rg -n -i Sherlock Holmes|John Watson|Irene Adler|Inspector Lestrade|Professor Moriarty C:\Users\ianskerins\ripgrep\benchsuite\subtitles\OpenSubtitles2016.raw.sample.en,2.7187371253967285,862,
subtitles_en_literal,1,3,rg,rg Sherlock Holmes C:\Users\ianskerins\ripgrep\benchsuite\subtitles\OpenSubtitles2016.raw.sample.en,0.4843752384185791,629,
subtitles_en_literal,1,3,rg,rg Sherlock Holmes C:\Users\ianskerins\ripgrep\benchsuite\subtitles\OpenSubtitles2016.raw.sample.en,0.4687538146972656,629,
subtitles_en_literal,1,3,rg,rg Sherlock Holmes C:\Users\ianskerins\ripgrep\benchsuite\subtitles\OpenSubtitles2016.raw.sample.en,0.4687683582305908,629,
subtitles_en_literal,1,3,rg (no mmap),rg --no-mmap Sherlock Holmes C:\Users\ianskerins\ripgrep\benchsuite\subtitles\OpenSubtitles2016.raw.sample.en,0.7031381130218506,629,
subtitles_en_literal,1,3,rg (no mmap),rg --no-mmap Sherlock Holmes C:\Users\ianskerins\ripgrep\benchsuite\subtitles\OpenSubtitles2016.raw.sample.en,0.6718494892120361,629,
subtitles_en_literal,1,3,rg (no mmap),rg --no-mmap Sherlock Holmes C:\Users\ianskerins\ripgrep\benchsuite\subtitles\OpenSubtitles2016.raw.sample.en,0.6875255107879639,629,
subtitles_en_literal,1,3,rg (lines),rg -n Sherlock Holmes C:\Users\ianskerins\ripgrep\benchsuite\subtitles\OpenSubtitles2016.raw.sample.en,0.6406188011169434,629,
subtitles_en_literal,1,3,rg (lines),rg -n Sherlock Holmes C:\Users\ianskerins\ripgrep\benchsuite\subtitles\OpenSubtitles2016.raw.sample.en,0.5937602519989014,629,
subtitles_en_literal,1,3,rg (lines),rg -n Sherlock Holmes C:\Users\ianskerins\ripgrep\benchsuite\subtitles\OpenSubtitles2016.raw.sample.en,0.6406166553497314,629,
subtitles_en_literal_casei,1,3,rg,rg -i Sherlock Holmes C:\Users\ianskerins\ripgrep\benchsuite\subtitles\OpenSubtitles2016.raw.sample.en,2.515641927719116,642,
subtitles_en_literal_casei,1,3,rg,rg -i Sherlock Holmes C:\Users\ianskerins\ripgrep\benchsuite\subtitles\OpenSubtitles2016.raw.sample.en,2.5156474113464355,642,
subtitles_en_literal_casei,1,3,rg,rg -i Sherlock Holmes C:\Users\ianskerins\ripgrep\benchsuite\subtitles\OpenSubtitles2016.raw.sample.en,2.609351634979248,642,
subtitles_en_literal_casei,1,3,rg (lines),rg -n -i Sherlock Holmes C:\Users\ianskerins\ripgrep\benchsuite\subtitles\OpenSubtitles2016.raw.sample.en,2.7031075954437256,642,
