benchmark,warmup_iter,iter,name,command,duration,lines,env
linux_word,1,3,rg (whitelist),rg -n -w --no-ignore -tall PM_RESUME,1.359375,6,
subtitles_en_alternate,1,3,rg (lines),rg -n Sherlock Holmes|John Watson|Irene Adler|Inspector Lestrade|Professor Moriarty C:\Users\ianskerins\ripgrep\benchsuite\subtitles\OpenSubtitles2016.raw.sample.en,2.640634298324585,848,
subtitles_en_alternate,1,3,rg (lines),rg -n Sherlock Holmes|John Watson|Irene Adler|Inspector Lestrade|Professor Moriarty C:\Users\ianskerins\ripgrep\benchsuite\subtitles\OpenSubtitles2016.raw.sample.en,2.6406185626983643,848,
subtitles_en_alternate,1,3,rg (lines),rg -n Sherlock Holmes|John Watson|Irene Adler|Inspector Lestrade|Professor Moriarty C:\Users\ianskerins\ripgrep\benchsuite\subtitles\OpenSubtitles2016.raw.sample.en,2.640662908554077,848,
subtitles_en_alternate,1,3,rg,rg Sherlock Holmes|John Watson|Irene Adler|Inspector Lestrade|Professor Moriarty C:\Users\ianskerins\ripgrep\benchsuite\subtitles\OpenSubtitles2016.raw.sample.en,2.5156359672546387,848,
subtitles_en_alternate,1,3,rg,rg Sherlock Holmes|John Watson|Irene Adler|Inspector Lestrade|Professor Moriarty C:\Users\ianskerins\ripgrep\benchsuite\subtitles\OpenSubtitles2016.raw.sample.en,2.5156354904174805,848,
subtitles_en_alternate,1,3,rg,rg Sherlock Holmes|John Watson|Irene Adler|Inspector Lestrade|Professor Moriarty C:\Users\ianskerins\ripgrep\benchsuite\subtitles\OpenSubtitles2016.raw.sample.en,2.5156359672546387,848,
subtitles_en_alternate_casei,1,3,rg,rg -n -i Sherlock Holmes|John Watson|Irene Adler|Inspector Lestrade|Professor Moriarty C:\Users\ianskerins\ripgrep\benchsuite\subtitles\OpenSubtitles2016.raw.sample.en,2.734384298324585,862,
subtitles_en_alternate_casei,1,3,rg,rg -n -i Sherlock Holmes|John Watson|Irene Adler|Inspector Lestrade|Professor Moriarty C:\Users\ianskerins\ripgrep\benchsuite\subtitles\OpenSubtitles2016.raw.sample.en,2.7500109672546387,862,
subtitles_en_alternate_casei,1,3,rg,rg -n -i Sherlock Holmes|John Watson|Irene Adler|Inspector Lestrade|Professor Moriarty C:\Users\ianskerins\ripgrep\benchsuite\subtitles\OpenSubtitles2016.raw.sample.en,2.765627145767212,862,
subtitles_en_literal,1,3,rg,rg Sherlock Holmes C:\Users\ianskerins\ripgrep\benchsuite\subtitles\OpenSubtitles2016.raw.sample.en,0.46875619888305664,629,
subtitles_en_literal,1,3,rg,rg Sherlock Holmes C:\Users\ianskerins\ripgrep\benchsuite\subtitles\OpenSubtitles2016.raw.sample.en,0.46872377395629883,629,
subtitles_en_literal,1,3,rg,rg Sherlock Holmes C:\Users\ianskerins\ripgrep\benchsuite\subtitles\OpenSubtitles2016.raw.sample.en,0.48439860343933105,629,
subtitles_en_literal,1,3,rg (no mmap),rg --no-mmap Sherlock Holmes C:\Users\ianskerins\ripgrep\benchsuite\subtitles\OpenSubtitles2016.raw.sample.en,0.6718912124633789,629,
subtitles_en_literal,1,3,rg (no mmap),rg --no-mmap Sherlock Holmes C:\Users\ianskerins\ripgrep\benchsuite\subtitles\OpenSubtitles2016.raw.sample.en,0.6719050407409668,629,
subtitles_en_literal,1,3,rg (no mmap),rg --no-mmap Sherlock Holmes C:\Users\ianskerins\ripgrep\benchsuite\subtitles\OpenSubtitles2016.raw.sample.en,0.6718800067901611,629,
subtitles_en_literal,1,3,rg (lines),rg -n Sherlock Holmes C:\Users\ianskerins\ripgrep\benchsuite\subtitles\OpenSubtitles2016.raw.sample.en,0.6406476497650146,629,
subtitles_en_literal,1,3,rg (lines),rg -n Sherlock Holmes C:\Users\ianskerins\ripgrep\benchsuite\subtitles\OpenSubtitles2016.raw.sample.en,0.5937752723693848,629,
subtitles_en_literal,1,3,rg (lines),rg -n Sherlock Holmes C:\Users\ianskerins\ripgrep\benchsuite\subtitles\OpenSubtitles2016.raw.sample.en,0.6093876361846924,629,
subtitles_en_literal_casei,1,3,rg,rg -i Sherlock Holmes C:\Users\ianskerins\ripgrep\benchsuite\subtitles\OpenSubtitles2016.raw.sample.en,2.5312349796295166,642,
subtitles_en_literal_casei,1,3,rg,rg -i Sherlock Holmes C:\Users\ianskerins\ripgrep\benchsuite\subtitles\OpenSubtitles2016.raw.sample.en,2.546872138977051,642,
subtitles_en_literal_casei,1,3,rg,rg -i Sherlock Holmes C:\Users\ianskerins\ripgrep\benchsuite\subtitles\OpenSubtitles2016.raw.sample.en,2.5312349796295166,642,
subtitles_en_literal_casei,1,3,rg (lines),rg -n -i Sherlock Holmes C:\Users\ianskerins\ripgrep\benchsuite\subtitles\OpenSubtitles2016.raw.sample.en,2.671877384185791,642,
subtitles_en_literal_casei,1,3,rg (lines),rg -n -i Sherlock Holmes C:\Users\ianskerins\ripgrep\benchsuite\subtitles\OpenSubtitles2016.raw.sample.en,2.6719095706939697,642,
subtitles_en_literal_casei,1,3,rg (lines),rg -n -i Sherlock Holmes C:\Users\ianskerins\ripgrep\benchsuite\subtitles\OpenSubtitles2016.raw.sample.en,2.6718523502349854,642,
subtitles_en_literal_word,1,3,rg (ASCII),rg -n (?-u:\b)Sherlock Holmes(?-u:\b) C:\Users\ianskerins\ripgrep\benchsuite\subtitles\OpenSubtitles2016.raw.sample.en,0.6250145435333252,629,
subtitles_en_literal_word,1,3,rg (ASCII),rg -n (?-u:\b)Sherlock Holmes(?-u:\b) C:\Users\ianskerins\ripgrep\benchsuite\subtitles\OpenSubtitles2016.raw.sample.en,0.6093602180480957,629,
subtitles_en_literal_word,1,3,rg (ASCII),rg -n (?-u:\b)Sherlock Holmes(?-u:\b) C:\Users\ianskerins\ripgrep\benchsuite\subtitles\OpenSubtitles2016.raw.sample.en,0.6406264305114746,629,
subtitles_en_literal_word,1,3,rg,rg -nw Sherlock Holmes C:\Users\ianskerins\ripgrep\benchsuite\subtitles\OpenSubtitles2016.raw.sample.en,0.609384298324585,629,
subtitles_en_literal_word,1,3,rg,rg -nw Sherlock Holmes C:\Users\ianskerins\ripgrep\benchsuite\subtitles\OpenSubtitles2016.raw.sample.en,0.6093652248382568,629,
subtitles_en_literal_word,1,3,rg,rg -nw Sherlock Holmes C:\Users\ianskerins\ripgrep\benchsuite\subtitles\OpenSubtitles2016.raw.sample.en,0.6093976497650146,629,
subtitles_en_no_literal,1,3,rg,rg -n \w{5}\s+\w{5}\s+\w{5}\s+\w{5}\s+\w{5}\s+\w{5}\s+\w{5} C:\Users\ianskerins\ripgrep\benchsuite\subtitles\OpenSubtitles2016.raw.sample.en,2.9062671661376953,13,
subtitles_en_no_literal,1,3,rg,rg -n \w{5}\s+\w{5}\s+\w{5}\s+\w{5}\s+\w{5}\s+\w{5}\s+\w{5} C:\Users\ianskerins\ripgrep\benchsuite\subtitles\OpenSubtitles2016.raw.sample.en,2.8906681537628174,13,
subtitles_en_no_literal,1,3,rg,rg -n \w{5}\s+\w{5}\s+\w{5}\s+\w{5}\s+\w{5}\s+\w{5}\s+\w{5} C:\Users\ianskerins\ripgrep\benchsuite\subtitles\OpenSubtitles2016.raw.sample.en,2.92181658744812,13,
subtitles_en_no_literal,1,3,rg (ASCII),rg -n (?-u)\w{5}\s+\w{5}\s+\w{5}\s+\w{5}\s+\w{5}\s+\w{5}\s+\w{5} C:\Users\ianskerins\ripgrep\benchsuite\subtitles\OpenSubtitles2016.raw.sample.en,2.578172445297241,13,
subtitles_en_no_literal,1,3,rg (ASCII),rg -n (?-u)\w{5}\s+\w{5}\s+\w{5}\s+\w{5}\s+\w{5}\s+\w{5}\s+\w{5} C:\Users\ianskerins\ripgrep\benchsuite\subtitles\OpenSubtitles2016.raw.sample.en,2.5781328678131104,13,
subtitles_en_no_literal,1,3,rg (ASCII),rg -n (?-u)\w{5}\s+\w{5}\s+\w{5}\s+\w{5}\s+\w{5}\s+\w{5}\s+\w{5} C:\Users\ianskerins\ripgrep\benchsuite\subtitles\OpenSubtitles2016.raw.sample.en,2.609368085861206,13,
subtitles_en_surrounding_words,1,3,rg,rg -n \w+\s+Holmes\s+\w+ C:\Users\ianskerins\ripgrep\benchsuite\subtitles\OpenSubtitles2016.raw.sample.en,0.6093311309814453,317,
subtitles_en_surrounding_words,1,3,rg,rg -n \w+\s+Holmes\s+\w+ C:\Users\ianskerins\ripgrep\benchsuite\subtitles\OpenSubtitles2016.raw.sample.en,0.6093814373016357,317,
subtitles_en_surrounding_words,1,3,rg,rg -n \w+\s+Holmes\s+\w+ C:\Users\ianskerins\ripgrep\benchsuite\subtitles\OpenSubtitles2016.raw.sample.en,0.6406233310699463,317,
subtitles_en_surrounding_words,1,3,rg (ASCII),rg -n (?-u)\w+\s+Holmes\s+\w+ C:\Users\ianskerins\ripgrep\benchsuite\subtitles\OpenSubtitles2016.raw.sample.en,0.6562256813049316,317,
subtitles_en_surrounding_words,1,3,rg (ASCII),rg -n (?-u)\w+\s+Holmes\s+\w+ C:\Users\ianskerins\ripgrep\benchsuite\subtitles\OpenSubtitles2016.raw.sample.en,0.5937371253967285,317,
subtitles_en_surrounding_words,1,3,rg (ASCII),rg -n (?-u)\w+\s+Holmes\s+\w+ C:\Users\ianskerins\ripgrep\benchsuite\subtitles\OpenSubtitles2016.raw.sample.en,0.6250138282775879,317,
subtitles_ru_alternate,1,3,rg (lines),rg -n Шерлок Холмс|Джон Уотсон|Ирен Адлер|инспектор Лестрейд|профессор Мориарти C:\Users\ianskerins\ripgrep\benchsuite\subtitles\OpenSubtitles2016.raw.ru,4.656264305114746,691,
subtitles_ru_alternate,1,3,rg (lines),rg -n Шерлок Холмс|Джон Уотсон|Ирен Адлер|инспектор Лестрейд|профессор Мориарти C:\Users\ianskerins\ripgrep\benchsuite\subtitles\OpenSubtitles2016.raw.ru,4.671834945678711,691,
